show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,type
81172899,Payday,cheta chukwu,"baaj adebule, ebiye victor, meg otanwa, bisola aiyeola, mawuli gavor, zack orji, segilola ogidan",nigeria,"November 29, 2019",2018,tv-ma,110 min,"Comedies, Independent Movies, International Movies","After an expensive night out, two flatmates get tangled in an overnight misadventure to recover their rent money to pay their dead landlord's daughter.",Movie
81094391,Sugar Rush Christmas,unknown,"hunter march, candace nelson, adriano zumbo",united states,"November 29, 2019",2019,tv-pg,1 Season,Reality TV,"It's everything you love about ""Sugar Rush"" – with a holly jolly holiday twist – in this Christmas-themed spin on competitive baking.",TV Show
81172908,The Accidental Spy,roger russell,"ramsey nouah, christine allado, ayo makun, emmanuel edunjobi, thenjiwe moseley, miguel a. núñez jr., bucci franklin",nigeria,"November 29, 2019",2017,tv-14,104 min,"Action & Adventure, Comedies, International Movies","Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama.",Movie
81152641,The Charming Stepmom,unknown,"shahkrit yamnarm, view wannarot sontichai, krittanai arsalprakit, ployshompoo supasap, boriboon chanrueng, shawankorn wanthanapisitkul, duangta toongkamanee, daraneenuch pasutanavin, phuwin tangsakyuen, nuntasai pisolyabut, pimmara charoenpakdee, thanawat rattanakitpaisan",unknown,"November 29, 2019",2019,tv-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A quirky fashion student becomes the nanny of a handsome widower’s three kids, experiencing a series of silly antics and schemes.",TV Show
81172901,The Island,toka mcbaror,"sambasa nzeribe, segun arinze, tokunbo idowu, femi adebayo",nigeria,"November 29, 2019",2018,tv-14,93 min,"Dramas, International Movies, Thrillers","When a colonel uncovers controversial intel about the government, he makes a shocking discovery and must decide whether to reveal it or risk his life.",Movie
80990849,The Movies That Made Us,unknown,unknown,united states,"November 29, 2019",2019,tv-ma,1 Season,Docuseries,"These blockbusters brought us together and gave us the time of our lives. Meet the actors, directors and industry insiders who made them happen.",TV Show
81033086,Holiday Rush,leslie small,"romany malco, sonequa martin-green, darlene love, deon cole, la la anthony, deysha nelson, amarr m. wooten, selena-marie alphonse, andrea-marie alphonse",united states,"November 28, 2019",2019,tv-pg,94 min,"Children & Family Movies, Dramas",A widowed radio DJ and his four spoiled kids need to tighten their belts and pull together when their life of luxury turns lean just before Christmas.,Movie
80156799,Levius,unknown,"nobunaga shimazaki, junichi suwabe, takahiro sakurai, ayane sakura, hochu otsuka, daisuke ono, saori hayami, mamoru miyano",japan,"November 28, 2019",2019,tv-14,1 Season,"Anime Series, International TV Shows",Young Levius rises through the ranks in the brutal world of metal boxing under his uncle's guidance. Forces outside the ring have their eye on him.,TV Show
81161538,Lugar de Mulher,unknown,unknown,brazil,"November 28, 2019",2019,tv-ma,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies","Four comedians from Brazil riff on sexuality, politics, religion and motherhood – and set out to prove a woman's place is anywhere she wants it to be.",TV Show
80997965,Merry Happy Whatever,unknown,"dennis quaid, bridgit mendler, brent morin, ashley tisdale, siobhan murphy, adam rose, elizabeth ho, hayes macarthur, garcelle beauvais, tyler ritter, mason davis, lucas jaye",united states,"November 28, 2019",2019,tv-pg,1 Season,TV Comedies,"A struggling LA musician tries to win over his new girlfriend's gruff dad and quirky, tight-knit siblings on a 10-day Christmas visit to Philadelphia.",TV Show
81018979,Mythomaniac,unknown,"marina hands, mathieu demy, marie drion, jérémy gillet, zélie rhixon, yves jacques, jean-charles clichet, julia faure, andrea roncato, linh dan pham",france,"November 28, 2019",2019,tv-ma,1 Season,"International TV Shows, TV Comedies, TV Dramas","Burned out and taken for granted, a working mom suspects her partner is cheating, so to win back his attentions, she feigns a medical diagnosis.",TV Show
60020826,The Score,frank oz,"robert de niro, edward norton, marlon brando, angela bassett, gary farmer, paul soles, jamie harrold, serge houde","germany, canada, united states","November 28, 2019",2001,r,124 min,"Dramas, Thrillers","Ready-to-retire safecracker Nick, flamboyant fence Max and talented but volatile thief Jackie team up to rob the Montreal Customs House.",Movie
81002391,Broken,unknown,unknown,united states,"November 27, 2019",2019,tv-14,1 Season,Docuseries,This investigative docuseries shows how negligence and deceit in the production and marketing of popular consumer items can result in dire outcomes.,TV Show
70101696,Defiance,edward zwick,"daniel craig, liev schreiber, jamie bell, alexa davalos, allan corduner, mark feuerstein, tomas arana, jodhi may, kate fahy, iddo goldberg, george mackay, iben hjejle, martin hancock, jacek koman, ravil isyanov",united states,"November 27, 2019",2008,r,137 min,"Action & Adventure, Dramas","In this action-packed drama based on an extraordinary true story, four brothers protect more than 1,000 Jewish refugees during World War II.",Movie
81194544,Evvarikee Cheppoddu,basava shankar eeday,"rakesh varre, gargeyi, vamsi raj nekkanti, d p ghani, k prasanna",india,"November 27, 2019",2019,tv-14,134 min,"Comedies, International Movies, Romantic Movies","When caste differences throw a wrench into their otherwise blossoming relationship, a couple must somehow convince the girl’s father to let them marry.",Movie
80995081,Little Singham: Mahabali,prakash satam,"saumya daan, sonal kaushal, anamaya verma, ganesh divekar, neshma chemburkar",unknown,"November 27, 2019",2019,tv-y7,69 min,"Children & Family Movies, Comedies","In a journey back in time to the ancient city of Mirchigadh, Little Singham vies for the title of Ultimate Warrior and fights a zombie king’s army.",Movie
81177504,The Body Remembers When the World Broke Open,"elle-máijá tailfeathers, kathleen hepburn","violet nelson, elle-máijá tailfeathers, charlie hannah, barbara eve harris, sonny surowiec, jay cardinal villeneuve, tony massil, aidan dee, james angus cowan, anthony bolognese","canada, norway","November 27, 2019",2019,tv-ma,106 min,"Dramas, Independent Movies","After a traumatic event, two Indigenous women in Vancouver are brought together and form a deep bond despite leading different lives.",Movie
80175798,The Irishman,martin scorsese,"robert de niro, al pacino, joe pesci, harvey keitel, ray romano, bobby cannavale, anna paquin, stephen graham, stephanie kurtzuba, kathrine narducci, welker white, jesse plemons, jack huston, domenick lombardozzi, louis cancelmi, paul herman, gary basaraba, marin ireland, sebastian maniscalco, steven van zandt",united states,"November 27, 2019",2019,r,209 min,Dramas,Hit man Frank Sheeran looks back at the secrets he kept as a loyal member of the Bufalino crime family in this acclaimed film from Martin Scorsese.,Movie
81062293,Mike Birbiglia: The New One,seth barrish,mike birbiglia,united states,"November 26, 2019",2019,tv-ma,86 min,Stand-Up Comedy,Comedian Mike Birbiglia hits Broadway with a hilarious yet profound one-man show that recounts his emotional and physical journey to parenthood.,Movie
80235524,Super Monsters Save Christmas,steve ball,"elyse maloway, vincent tong, erin mathews, andrea libman, alessandro juliani, nicole anthony, diana kaarina, ian james corlett, britt mckillip, kathleen barr, gigi saul guerrero, brian drummond",united states,"November 26, 2019",2019,tv-y,24 min,Children & Family Movies,"It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!",Movie
81204911,The Crime,unknown,"magdalena boczarska, wojciech zieliński, joanna kulig, radosław pazura, magdalena zawadzka, dorota kolak, zdzislaw wardejn, małgorzata rożniatowska, aleksandra popławska, lukasz nowicki, tamara arciuch, rafał cieszyński, karolina kominek",poland,2025-01-26 05:26:09.662133,2015,tv-14,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",The peaceful lives of the residents inhabiting a breathtaking seaside town are shaken following a series of macabre crimes.,TV Show
81035121,True: Winter Wishes,unknown,"michela luci, jamie watson, eric peterson, anna claire bartlam, nicolas aqui, cory doran, julie lemieux, derek mcgrath",unknown,"November 26, 2019",2019,tv-y,46 min,Movies,"An ice crystal from a frosty realm is freezing everything in the Rainbow Kingdom, its citizens too! Can True save Winter Wishfest – and her friends?",Movie
81140259,Zona Rosa,unknown,"manu nna, ana julia yeyé, ray contreras, pablo morán",mexico,"November 26, 2019",2019,tv-ma,1 Season,"International TV Shows, Spanish-Language TV Shows, Stand-Up Comedy & Talk Shows",An assortment of talent takes the stage for a night of honest stand-up featuring four of Mexico's funniest LGBTQ comedians.,TV Show
80241855,Dirty John,unknown,"connie britton, eric bana, juno temple, julia garner, jean smart, keiko agena, jeff perry, kevin zegers, jake abel",united states,"November 25, 2019",2018,tv-14,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,TV Show
81215481,Pranaam,sanjiv jaiswal,"rajeev khandelwal, samiksha singh, s.m. zaheer, vikram gokhale, meenakshi sethi, atul kulkarni, abhimanyu singh, aniruddha dave",india,"November 25, 2019",2019,tv-ma,117 min,"Action & Adventure, Dramas, International Movies","Aspiring to fulfill his father’s dream and become a civil services officer, a young man loses his way upon becoming entangled with a criminal lynchpin.",Movie
81005044,What the F* Is Going On?,"marta jaenes, rosa márquez",unknown,unknown,"November 25, 2019",2019,tv-ma,87 min,"Documentaries, International Movies","Featuring extensive interviews, this documentary takes a critical look at the gender inequality in Spain as the feminist movement aims to shift reality.",Movie
81218079,Awake,"aleksandr chernyaev, fedor lyass","jonathan rhys meyers, francesca eastwood, malik yoba, william forsythe, james austin kerr, jeremy parr",united states,"November 24, 2019",2019,tv-ma,92 min,Thrillers,"After an accident leaves him with no recollection of who he is, a man becomes a prime suspect in the search for a serial killer targeting young women.",Movie
60028294,Popeye,robert altman,"robin williams, shelley duvall, ray walston, paul dooley, paul l. smith, richard libertini, donald moffat, macintyre dixon, roberta maxwell, donovan scott",united states,"November 24, 2019",1980,pg,114 min,"Action & Adventure, Children & Family Movies, Comedies","During a storm that wrecks his ship, super-strong sailor Popeye washes ashore and winds up rooming at the Oyl household, where he meets Olive.",Movie
80125671,Shot Caller,ric roman waugh,"nikolaj coster-waldau, omari hardwick, lake bell, jon bernthal, emory cohen, jeffrey donovan, evan jones, benjamin bratt, holt mccallany",united states,"November 24, 2019",2017,r,121 min,"Dramas, Thrillers","Trying to go straight, a once-successful businessman fresh out of prison is forced to orchestrate a brazen crime or risk his family.",Movie
80198001,Strong Girl Bong-soon,unknown,"park bo-young, park hyung-sik, ji soo, shim hye-jin, yu jae-myeong, jeon seok-ho, im won-hee, kim won-hae",south korea,"November 24, 2019",2017,tv-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows","Born with supernatural strength, Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.",TV Show
60020948,Charlotte's Web,"charles a. nichols, iwao takamoto","debbie reynolds, charles nelson reilly, paul lynde, henry gibson, rex allen, danny bonaduce, pamelyn ferdin, don messick, agnes moorehead, martha scott, john stephenson, herb vigran, dave madden",united states,"November 23, 2019",1973,g,94 min,"Children & Family Movies, Classic Movies","Follow the adventures of Wilbur the pig, Templeton the rat and Charlotte the spider in this animated musical version of E.B. White's timeless story.",Movie
70235384,End of Watch,david ayer,"jake gyllenhaal, michael peña, natalie martinez, anna kendrick, david harbour, frank grillo, america ferrera, cle sloan, jaime fitzsimons, cody horn, shondrella avery, america ferrara",united states,"November 23, 2019",2012,r,109 min,Action & Adventure,"Officers Taylor and Zavala patrol the streets of South Central Los Angeles, an area of the city ruled by gangs and riddled with drug violence.",Movie
569355,Hamburger Hill,john irvin,"anthony barille, michael boatman, don cheadle, michael dolan, don james, dylan mcdermott, michael a. nickles, harry o'reilly, daniel o'shea, tim quill, tommy swerdlow, courtney b. vance, steven weber, tegan west",united states,"November 23, 2019",1987,r,110 min,"Action & Adventure, Dramas",The Vietnam War's horrors come brutally to life through the eyes of American soldiers trying to take a heavily fortified hill under Vietcong control.,Movie
81208888,Once Upon A Time In Lingjian Mountain,unknown,"xu kai, sandrine pinna, ryan zhu, gao yuer, cristy guo, he wenjun, zheng yawen, li junhao, roger kwok, james wen",china,"November 23, 2019",2019,tv-pg,1 Season,"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy","As the nine continents face a crisis, a young disciple joins the Spirit Blade sect and comes under the tutelage of a temperamental sage.",TV Show
60022645,The Time Machine,simon wells,"guy pearce, samantha mumba, jeremy irons, mark addy, sienna guillory, phyllida law, alan young, omero mumba, yancey arias, orlando jones","united states, united arab emirates","November 23, 2019",2002,pg-13,96 min,"Action & Adventure, Sci-Fi & Fantasy","Based on the H.G. Wells classic, this adventure follows a scientist and inventor who's determined to prove to doubters that time travel is possible.",Movie
80198859,Brother,julien abraham,"mhd, darren muselet, aïssa maïga, jalil lespert, youssouf gueye, hiam abbass, lisette malidor",france,"November 22, 2019",2019,tv-ma,97 min,"Dramas, Independent Movies, International Movies","Thrust from a violent home into a brutal custody center, a teenager learns to navigate a tough new reality and forge unlikely alliances to survive.",Movie
80216180,Dino Girl Gauko,unknown,"naoko matsui, hiroshi kamiya, kazue ikura, chafurin, chie kojiro, mari mashiba, ryoko shiraishi, hidekatsu shibata, tadashi miyazawa, sonosuke hattori, karen, yui toita, izu konishi, eri ozaki, risa nakamura, tomoyo chujo, takuro hijioka, sawako yoshida, chika okubo, yuri fujiwara, tomomi yamakawa, hikaru yuki, miyako kobayashi, mutsuki arisawa, koharu nogata, tomoka kuzutani, madoka yokoyama, madoka hiraide, ayako takamura, yuki arimoto, yuto kazama, arisa takami, chika sakamoto","united states, japan","November 22, 2019",2019,tv-y7-fv,1 Season,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.",TV Show
80244846,Dolly Parton's Heartstrings,unknown,"dolly parton, julianne hough, kimberly williams-paisley, dallas roberts, melissa leo, andy mientus, katie stevens, michael j. willett, aidan langford, ray mckinnon, delta burke, gerald mcraney, ben lawson, brooke elliott, michele weaver, tim reid, sarah shahi, rochelle aytes, jessica collins, tammy lynn michaels, robert taylor, holly taylor, shane paul mcghie, mary lane haskell, camryn manheim, bellamy young, patricia wettig, timothy busfield, tom brittney, virginia gardner, colin o'donoghue, willa fitzgerald, david denman, vanessa rubio, mac davis, kathleen turner, ginnifer goodwin, kyle bornheimer, tyler crumley, mary donnelly haskell, ed amatrudo",united states,"November 22, 2019",2019,tv-14,1 Season,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.",TV Show
80159876,Girls und Panzer der Film,tsutomu mizushima,"mai fuchigami, ai kayano, mami ozaki, ikumi nakagami, yuka iguchi, misato fukuen, mikako takahashi, kana ueda, mika kikuchi, maya yoshioka",japan,"November 22, 2019",2015,tv-14,121 min,"Action & Adventure, Anime Features, International Movies",The girls of Ōarai High must face off against a formidable university team in a fierce tank battle to once again avoid closure of their school.,Movie
80233258,High Seas,unknown,"ivana baquero, jon kortajarena, alejandra onieva, eloy azorín, chiqui fernández, tamar novas, daniel lundh, manuela vellés, natalia rodríguez, laura prats, ignacio montes, begoña vargas, luis bermejo, pepe ocio, ben temple, félix gómez, antonio durán 'morris', eduardo blanco, josé sacristán",spain,2025-01-26 05:26:09.662133,2019,tv-ma,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Two sisters discover disturbing family secrets after a string of mysterious deaths occur on a luxury ship traveling from Spain to Brazil in the 1940s.,TV Show
70091304,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal,unknown,mike birbiglia,united states,"November 22, 2019",2008,tv-14,56 min,Stand-Up Comedy,Mike Birbiglia performs in this live concert special that features a riotous selection of the unique insights and observations culled from his diary.,Movie
81019894,Nailed It! Holiday!,unknown,"nicole byer, jacques torres",united states,2025-01-26 05:26:09.662133,2019,tv-pg,2 Seasons,Reality TV,"It's the ""Nailed It!"" holiday special you've been waiting for, with missing ingredients, impossible asks and desserts that look delightfully sad.",TV Show
81169145,Narcoworld: Dope Stories,unknown,unknown,united states,"November 22, 2019",2019,tv-ma,1 Season,"Crime TV Shows, Docuseries","Ride along as police officers and drug smugglers go toe-to-toe, trying to outwit each other in locales around the world.",TV Show
80244700,Nobody's Looking,unknown,"victor lamoglia, júlia rabello, kéfera buchmann, augusto madeira, danilo de moura, leandro ramos, telma souza, priscila sol, wallie ruy, maurício de barros, hermínio ribeiro",brazil,"November 22, 2019",2019,tv-ma,1 Season,"International TV Shows, TV Comedies, TV Dramas","A new guardian ""angelus"" uncovers a secret behind the Angelus System's bureaucracy that leads him to break its official rules about protecting humans.",TV Show
81218074,Shelby American,"nate adams, adam carolla",carroll shelby,united states,"November 22, 2019",2019,tv-14,119 min,"Documentaries, Sports Movies","Featuring interviews and vintage footage, this documentary traces American icon Carroll Shelby's life of reinvention from farmer to racer to entrepreneur.",Movie
80245262,Singapore Social,unknown,"nicole ong, mae tan, sukki singapora, vinny sharp, paul foster, tabitha nauser","singapore, united states","November 22, 2019",2019,tv-ma,1 Season,"International TV Shows, Reality TV","Peer into the lives of young Singaporeans as they defy expectations and traverse the tricky terrain of career, romance and family.",TV Show
80212245,The Dragon Prince,unknown,"jack de sena, paula burrows, sasha rojen, jason simpson, racquel belmonte, jesse inocalla, luc roderique, jonathan holmes, adrian petriw","united states, canada",2025-01-26 05:26:09.662133,2019,tv-y7-fv,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",An extraordinary discovery inspires two human princes and an elven assassin to team up on an epic quest to bring peace to their warring lands.,TV Show
80117560,Trolls: The Beat Goes On!,unknown,"amanda leighton, skylar astin, ron funches, david fynn, david koechner, david kaye, sean t. krishnan, sam lerner, patrick pinney, kevin michael richardson, kari wahlgren, fryda wolff",united states,2025-01-26 05:26:09.662133,2019,tv-g,8 Seasons,"Kids' TV, TV Comedies","As Queen Poppy welcomes a new time of peace in Troll Village with parties, sports and holiday celebrations, Branch tries to be more fun-loving.",TV Show
60023606,K-19: The Widowmaker,kathryn bigelow,"harrison ford, liam neeson, peter sarsgaard, sam spruell, joss ackland, peter stebbings, christian camargo, sam redford, john shrapnel, donald sumpter","united kingdom, germany, canada, united states","November 21, 2019",2002,pg-13,138 min,"Action & Adventure, Dramas","On board Russia's first nuclear ballistic submarine, Capt. Vostrikov must race against time to prevent a Chernobyl-like explosion.",Movie
80241539,Mortel,unknown,"carl malapa, nemo schiffman, manon bresch, corentin fila, anaïs thomas, firmine richard, raphaëlle agogué, marvin dubart, léa léviant, assa sylla, stéphane brel",france,"November 21, 2019",2019,tv-ma,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","After making a deal with a supernatural figure, two high schoolers emerge with extraordinary powers and join forces to solve a murder.",TV Show
81026188,The Knight Before Christmas,monika mitchell,"vanessa hudgens, josh whitehouse, emmanuelle chriqui, harry jarvis, mimi gianopulos, ella kenion, jean-michel le gal, arnold pinnock",united states,"November 21, 2019",2019,tv-14,93 min,"Children & Family Movies, Comedies, Romantic Movies","Medieval magic sends a 14th-century knight to modern-day Ohio, where he falls for a high school science teacher who's disillusioned by love.",Movie
70267398,Adore,anne fontaine,"naomi watts, robin wright, xavier samuel, james frecheville, ben mendelsohn, jessica tovey, sophie lowe, gary sweet, alyson standen, skye sutherland, sarah henderson","australia, france","November 20, 2019",2013,r,111 min,"Dramas, Independent Movies, International Movies","When lifelong friends Roz and Lil fall in love with each other's teenage sons, they must carry out their affairs in relative secrecy.",Movie
81152643,Bangkok Buddies,unknown,"vayu kessuvit, ekapol deebunmee, nuttapong boonyuen, thanadol auepongs, martin sidel, nichaphat chatchaipholrat, narupornkamol chaisang, jidapa siribunchawan, hortnarong teng, everest moe, le trung hieu",unknown,"November 20, 2019",2019,tv-14,1 Season,"International TV Shows, TV Comedies, TV Dramas","Living under the same roof, a group of unabashed friends wrestle with everyday issues from financial woes and shared quarters to romantic misfires.",TV Show
80108983,Be Somebody,joshua caldwell,"matthew espinosa, sarah jeffery, allison paige, tava smiley, caitlin keats, lamonica garrett, mahaley patel, mason mcculley, liana ramirez",united states,"November 20, 2019",2016,pg,88 min,"Comedies, Dramas, Romantic Movies","To escape the stress of fame, teen pop star Jordan goes incognito in a small town, where he forms a special bond with high school art student Emily.",Movie
292118,Beavis and Butt-head Do America,mike judge,"mike judge, bruce willis, demi moore, cloris leachman, robert stack, jacqueline barba, pamela blair, eric bogosian, kristofor brown, tony darling, david letterman",united states,"November 20, 2019",1996,pg-13,81 min,"Comedies, Cult Movies","After realizing that their boob tube is gone, Beavis and Butt-head set off on an expedition that takes them from Las Vegas to the nation's capital.",Movie
70003046,Bebe's Kids,bruce w. smith,"faizon love, vanessa bell calloway, wayne collins, jonell green, marques houston, tone-loc, myra j., nell carter",united states,"November 20, 2019",1992,pg-13,73 min,Comedies,"When ladies' man Robin meets Jamika, he falls head over heels, but she greets him with four surprises: her son and her girlfriend Bebe's three kids.",Movie
80221584,"Bikram: Yogi, Guru, Predator",eva orner,bikram choudhury,united states,"November 20, 2019",2019,tv-ma,86 min,Documentaries,This documentary charts the rise and fall of hot yoga founder Bikram Choudhury as his global empire is born and disturbing revelations come to light.,Movie
70053833,Black Snake Moan,craig brewer,"samuel l. jackson, christina ricci, justin timberlake, s. epatha merkerson, john cothran, david banner, michael raymond-james, adriane lenox, kim richards, neimus k. williams",united states,"November 20, 2019",2007,r,116 min,"Dramas, Independent Movies","Lazarus finds Rae beaten and near death, and acts as a father figure to help redeem her. But before saving anyone, Lazarus must face his own demons.",Movie
70122722,Carriers,"àlex pastor, david pastor","lou taylor pucci, chris pine, piper perabo, emily vancamp, christopher meloni, kiernan shipka, ron mcclary, mark moses",united states,"November 20, 2019",2009,pg-13,85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers","As a lethal virus spreads globally, four friends seek a reputed plague-free haven. But while avoiding the infected, the travelers turn on one another.",Movie
81217738,Dorasaani,kvr mahendra,"anand deverakonda, shivatmika rajasekhar, kannada kishore",india,"November 20, 2019",2019,tv-14,134 min,"Dramas, International Movies, Romantic Movies",A village landlord's daughter and an educated commoner must decide if their budding forbidden love is worth resisting a repressive social hierarchy.,Movie
80081990,Dream/Killer,andrew jenks,"bill ferguson, ryan ferguson",united states,"November 20, 2019",2015,tv-ma,109 min,Documentaries,This riveting crime doc follows Bill as he confronts America's broken judicial system after his son is falsely sentenced to 40 years in prison.,Movie
60004471,Evolution,ivan reitman,"david duchovny, julianne moore, orlando jones, seann william scott, ted levine, ethan suplee, michael bower, pat kilbane, ty burrell, dan aykroyd",united states,"November 20, 2019",2001,pg-13,102 min,"Comedies, Sci-Fi & Fantasy","After two community college geology professors discover microscopic alien life-forms on a meteorite, the military and government become involved.",Movie
60022413,Eye for an Eye,john schlesinger,"sally field, kiefer sutherland, ed harris, beverly d'angelo, charlayne woodard, joe mantegna, olivia burnette, alexandra kyle, keith david, philip baker hall",united states,"November 20, 2019",1996,r,101 min,"Dramas, Thrillers",Grieving mother Karen McCann takes justice into her own hands when the man who raped and murdered her daughter is freed on a technicality.,Movie
81011957,Holiday Secrets,unknown,"corinna harfouch, christiane paul, svenja jung, leonie benesch, anita vulesica, barbara nüsse, hans-uwe bauer, lorna zu solms, tilda jenkins, emilie neumeister, golo euler, dennis herrmann, maik solbach, merlin rose",germany,"November 20, 2019",2019,tv-ma,1 Season,"International TV Shows, TV Dramas",A Christmas reunion becomes a gateway to the past in this three-part series that explores the intimate complexities of one family's history.,TV Show
70058022,Hot Rod,akiva schaffer,"andy samberg, jorma taccone, bill hader, danny mcbride, isla fisher, sissy spacek, ian mcshane, will arnett, chris parnell, chester tam",united states,"November 20, 2019",2007,pg-13,88 min,"Comedies, Sports Movies",Andy Samberg stars in this comedy as an accident-prone daredevil who's determined to jump 15 buses on his moped and impress his abusive stepfather.,Movie
60022502,It Takes Two,andy tennant,"kirstie alley, steve guttenberg, mary-kate olsen, ashley olsen, philip bosco, jane sibbett",united states,"November 20, 2019",1995,pg,101 min,"Children & Family Movies, Comedies","The Olsen twins put a cute new spin on Mark Twain's classic tale ""The Prince and the Pauper,"" playing identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa.",Movie
80244683,"Lorena, Light-Footed Woman",juan carlos rulfo,lorena ramírez,mexico,"November 20, 2019",2019,tv-g,28 min,"Documentaries, International Movies, Sports Movies",Lorena Ramírez of Mexico's Rarámuri community lives a pastoral life – except when she straps on her sandals to compete as an ultramarathon runner.,Movie
